@relation demo

@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute M_01 numeric
@attribute M_10 numeric
@attribute M_11 numeric
@attribute M_02 numeric
@attribute M_20 numeric
@attribute Mu_01 numeric
@attribute Mu_10 numeric
@attribute Mu_11 numeric
@attribute Mu_02 numeric
@attribute Mu_20 numeric
@attribute classe {buva, capim_amargoso, soja, solo}

@data

0.00211159938365259,2.541760045801456e-07,5.4353933677198086e-11,3.685055944594181e-12,1.2125151069411267e-23,-1.7096830345561548e-15,-5.0724207397630056e-23,47198970.0,37287885.0,1595504910.0,2580643860.0,1600809165.0,9911085.0,-9911084.999999981,-123527391.69497497,610596204.30644,405413689.8407645,buva
0.0015247549358357914,3.578619916295872e-08,3.737254916790198e-11,1.0260761167479693e-11,-1.7351886243531117e-23,1.9410478627792073e-15,2.0017980085971445e-22,41111355.0,36792675.0,1492647600.0,2046531315.0,1638266625.0,4318680.000000008,-4318679.999999994,-32985789.39405492,381167341.42911595,308111658.5632621,buva
0.001961705842861923,6.911734833538647e-08,7.321650934297908e-11,2.3010862979969696e-11,-3.946262177911405e-22,-2.83765401116334e-15,-8.58113182085205e-22,21721920.0,21044130.0,686337855.0,869052240.0,860719350.0,677790.0000000027,-677790.0000000041,23209719.101995576,185919029.556541,219593589.99999997,buva
0.0017717461649618695,2.0942455351023958e-07,3.3429784462902153e-10,2.301433890480934e-11,-1.9939798928684484e-21,9.038770342470489e-15,3.1473486447093825e-22,21893280.0,22708770.0,759284685.0,865641870.0,931265100.0,-815489.9999999979,815490.0000000015,45988340.77639753,179832037.826087,193340779.0062112,buva
0.0017587357271086294,9.747868281650111e-08,4.195490293190699e-11,1.7757439512823145e-11,4.3197327271072095e-22,-3.1593761313178576e-15,-2.1982066738147423e-22,20117205.0,21894300.0,698953470.0,776098365.0,905112810.0,-1777095.0000000005,1777094.9999999972,19137996.629542835,160747898.1770223,175351175.39859322,buva
0.001931154753131051,5.890809663481729e-07,9.746734606794718e-10,2.4309169736903956e-11,-1.827214411620572e-21,-1.823912577832293e-14,3.2653674867571264e-21,21478140.0,21234105.0,711286035.0,838852080.0,942367035.0,244035.00000000044,-244035.00000000309,-22706471.128436618,96616858.65203118,216904738.75051296,buva
0.0013893675486866311,6.260556221207645e-08,1.6940292988772655e-10,1.205355858477791e-11,5.329080060037791e-22,1.1702489392950647e-15,-1.1258049376730967e-22,26902245.0,20201355.0,760731555.0,1203722655.0,736383645.0,6700890.000000003,-6700890.0,-19555471.907338522,303460917.4839365,254717917.22353712,buva
0.0016982106325938921,1.003190041186209e-07,1.7551692694927852e-10,7.094953385867308e-11,-1.5642151106614661e-21,-8.774164089564523e-15,-7.761366548287902e-21,25693800.0,21714270.0,822498165.0,1086949740.0,879164520.0,3979529.999999998,-3979529.9999999925,14296156.961206915,179333812.26293096,237299432.93103448,buva
0.0016974154042117729,1.2932059096191853e-07,3.374990445876024e-11,5.2642425194968026e-12,-3.658099971515645e-23,8.4572279329495e-16,-5.98782227436606e-23,23501310.0,32506380.0,980175375.0,887754450.0,1618195320.0,-9005069.999999996,9005070.00000001,-97151684.66840051,286999349.14174247,374444261.840052,buva
0.0020817460385553492,2.979784688952185e-07,5.814127816571959e-10,2.6498998972383638e-11,2.3722384291173505e-21,9.601879264468584e-15,-2.2784057076137124e-21,19374900.0,30433995.0,831480285.0,667175880.0,1531330845.0,-11059095.000000002,11059095.000000004,-147480735.74158496,319180434.36711085,425915354.7475454,buva
0.0027215357271564884,5.863615994619427e-07,1.7405519809630162e-09,1.9082315545699088e-10,7.468437412469893e-20,1.4215457272020402e-13,-8.072502573682566e-20,24014625.0,25188390.0,928581735.0,1009709985.0,1161912600.0,-1173764.9999999984,1173765.000000007,35448951.925244115,162161348.9819684,229284520.68933135,buva
0.0014083143582282838,1.575755468428059e-07,2.0961567048630268e-10,7.372205180623324e-12,-2.885090404983276e-22,-1.935041242796873e-15,-2.7391450081980046e-23,24517995.0,31780395.0,1014410655.0,935827305.0,1509227445.0,-7262400.000000001,7262400.0,-12820563.783060487,258702761.78369024,327260915.88948387,buva
0.002301873259191206,5.254432549895025e-08,9.796889282799782e-10,6.766318552188171e-11,1.542550962804903e-20,1.5446820902249482e-14,-8.09595242625506e-21,27491295.0,25317420.0,900050040.0,1215931545.0,1075933230.0,2173875.0000000005,-2173875.0000000033,-20237306.6694575,229569609.8760884,240339645.63797718,buva
0.001677255736344484,1.861379376072836e-07,2.642615913547949e-10,4.0716099772944906e-11,-3.451016015377183e-21,-1.5795239292929242e-14,-2.434734012130499e-21,28418985.0,36428025.0,1108471485.0,1120709955.0,1842446655.0,-8009039.999999999,8009039.999999993,-112525974.78334749,294977105.10620207,439904150.5947324,buva
0.0016570695912249962,1.7421026058081323e-08,2.981844180932806e-10,1.0727687760212552e-11,-1.8625687432105907e-22,3.9809991495491193e-16,-5.774427793798672e-22,37832055.0,36740400.0,1451509470.0,1811620215.0,1722382200.0,1091654.9999999995,-1091654.9999999986,24857833.113232292,345059509.76987445,339305982.1796548,buva
0.0015677573953758487,5.7274863649192406e-09,6.255839355614406e-10,5.767489226533439e-12,-2.8584598394944645e-22,4.306997280295371e-16,-1.9572929507827368e-22,31371120.0,23391915.0,976338135.0,1488615030.0,926647815.0,7979204.999999999,-7979205.00000001,-82376913.95565344,266636911.10189563,284761140.98510486,buva
0.0016470788106917535,6.029786350691396e-08,1.9711121355650915e-11,9.536547300741648e-13,3.110016708927816e-24,-1.1973212493109811e-16,-2.7245944994821444e-24,31418040.0,35183880.0,1242256980.0,1383305640.0,1702478430.0,-3765840.000000005,3765840.0000000014,-49841140.117716335,260486350.06474394,290201472.4484992,buva
0.0019293767720575058,1.4034650802529468e-08,4.328182086667161e-11,1.7608577234759474e-11,-2.9060595774986345e-22,-1.787017478667778e-15,3.8968721055943074e-22,41868960.0,46404645.0,1830182175.0,2005150680.0,2424168975.0,-4535684.999999997,4535685.000000005,-4012132.0354931527,386791449.12220126,431792923.6993807,buva
0.0025579066665925203,3.297183117146651e-07,6.885844571601334e-10,1.8388152298331023e-10,-1.4714590160075078e-21,-8.652060751935746e-14,-6.54147820442561e-20,17329035.0,25061145.0,691920825.0,655624125.0,1288206705.0,-7732110.000000002,7732110.000000001,-131510229.05227365,254784264.3646408,341104609.78750557,buva
0.0014698987166704524,1.2541666780013654e-07,1.6929930950915439e-10,7.031913688454714e-12,1.1105180337880447e-22,1.9450841646494524e-15,-2.157197778301221e-22,26679120.0,29585100.0,924177630.0,1098183510.0,1298353410.0,-2905979.999999997,2905979.999999992,-59914238.66310161,230564855.45454544,229040181.3368984,buva
0.0015570312376550748,6.346511075555359e-07,1.7593646751355113e-11,2.1342656660875815e-12,6.310775888752958e-24,4.737692760307706e-16,-1.1454934785600578e-23,23621670.0,29112840.0,995536575.0,919344360.0,1337925840.0,-5491170.0,5491170.0,75573935.99999997,242898959.9999999,290374251.0,buva
0.002134683583267763,8.759432466246144e-08,2.193108390538914e-10,1.0568430593552043e-10,1.813431603002503e-21,2.476845900204325e-14,1.598709948690232e-20,27989820.0,26837730.0,908076420.0,1278153330.0,1150176480.0,1152090.0000000014,-1152090.0000000037,-35646553.56571796,297318836.9203708,248558766.86920387,buva
0.0015433692400933837,9.402460967786205e-08,8.980977365173309e-11,1.2146595565640847e-11,2.5887794736788742e-22,3.3321021566184273e-15,-3.064814025981003e-22,32720325.0,39532650.0,1430021385.0,1466478225.0,2071676100.0,-6812324.999999995,6812325.000000001,-93499417.29776743,301932779.94346184,347479095.90460986,buva
0.0015020645749938785,2.3630900327811002e-07,2.1843854749327023e-10,7.069486666886009e-12,-2.210269869198359e-22,-3.4254837429563705e-16,-1.6830022069929263e-22,29608050.0,23275890.0,900262455.0,1401798240.0,836505570.0,6332160.000000004,-6332160.0000000065,-37685654.22269597,325855147.71400464,191265658.45523113,buva
