@relation demo

@attribute cor_rmin numeric
@attribute cor_rmax numeric
@attribute cor_rmediamedia numeric
@attribute cor_rdesvio numeric
@attribute cor_gmin numeric
@attribute cor_gmax numeric
@attribute cor_gmedia numeric
@attribute cor_gdesvio numeric
@attribute cor_bmin numeric
@attribute cor_bmax numeric
@attribute cor_bmedia numeric
@attribute cor_bdesvio numeric
@attribute cor_hmin numeric
@attribute cor_hmax numeric
@attribute cor_hmedia numeric
@attribute cor_hdesvio numeric
@attribute cor_smin numeric
@attribute cor_smax numeric
@attribute cor_smedia numeric
@attribute cor_sdesvio numeric
@attribute cor_vmin numeric
@attribute cor_vmax numeric
@attribute cor_vmedia numeric
@attribute cor_vdesvio numeric
@attribute cor_cielmin numeric
@attribute cor_cielmax numeric
@attribute cor_cielmedia numeric
@attribute cor_cieldesvio numeric
@attribute cor_cieamin numeric
@attribute cor_cieamax numeric
@attribute cor_cieamedia numeric
@attribute cor_cieadesvio numeric
@attribute cor_ciebmin numeric
@attribute cor_ciebmax numeric
@attribute cor_ciebmedia numeric
@attribute cor_ciebdesvio numeric
@attribute classe {floresta, hidrografia, plantacao}

@data

11,44,30.38374291115312,5.76396146544329,29,62,48.39508506616257,5.764507009347519,15,48,34.34782608695652,5.791265178089237,63,67,66.92249527410208,0.4838063991207825,74,158,96.44990548204159,12.50020207740433,29,62,48.39508506616257,5.764507009347519,23,62,46.24574669187145,6.918927347022624,115,118,116.84499054820417,0.4418752463875079,134,137,134.6880907372401,0.5208960065231291,floresta
0,47,30.375,9.51708751195159,0,71,51.46739130434783,14.026851388011982,0,46,28.869565217391305,9.230012551184428,0,66,55.335144927536234,13.111077722177038,0,170,107.54347826086956,29.9843847199194,0,71,51.46739130434783,14.026851388011982,0,70,49.14492753623188,14.046661744135838,110,128,114.05797101449275,3.695410620125151,128,143,139.67753623188406,3.3200645645010227,floresta
16,50,32.684310018903595,6.178852857413496,39,72,55.688090737240074,6.187299475912024,13,47,29.727788279773158,6.180156291006037,56,58,57.02835538752363,0.2404102872463775,89,170,120.35538752362949,13.863852383867158,39,72,55.688090737240074,6.187299475912024,33,72,53.15500945179584,7.0602710745702595,112,114,112.69943289224953,0.47071082046033336,140,143,141.55576559546313,0.5155519275931971,floresta
4,55,28.695652173913043,6.479573838351876,28,79,52.353497164461245,6.428742175192277,6,57,30.071833648393195,6.498984990019094,54,63,62.177693761814744,2.5124629938831267,77,219,119.16635160680529,16.119670676520435,28,79,52.353497164461245,6.428742175192277,20,80,49.51039697542533,7.480559911597042,112,115,113.01512287334593,0.6649175468209445,137,142,139.28922495274102,0.7810958593263415,floresta
17,54,32.12287334593573,4.445641699257179,40,77,55.33459357277883,4.375947520968743,14,51,29.283553875236294,4.391835292636287,55,58,57.16068052930057,0.4200597558747802,86,166,120.765595463138,9.692135630315207,40,77,55.33459357277883,4.375947520968743,35,77,52.79962192816635,4.936412281066938,110,114,112.5992438563327,0.5272170713710369,141,143,141.67296786389414,0.5003277573269044,floresta
21,41,30.00756143667297,3.29689369590024,44,65,53.68241965973535,3.3358471468031423,16,39,27.572778827977316,3.4321530978105743,55,58,57.56521739130435,0.748028284090663,102,162,124.46124763705104,8.423957147324607,44,65,53.68241965973535,3.3358471468031423,39,64,50.911153119092624,3.8538577624638832,111,113,112.20793950850661,0.41504470359421647,141,144,141.75425330812854,0.54313542239825,floresta
0,75,34.44618055555556,15.051897005606957,0,85,49.61805555555556,19.87521716435438,0,74,31.51388888888889,14.269108100636645,0,59,48.420138888888886,18.58278803333399,0,132,82.10763888888889,38.06384727566506,0,85,49.61805555555556,19.87521716435438,0,89,48.685763888888886,19.882734486646292,112,128,117.52430555555556,4.671808871182342,128,143,137.38888888888889,4.421555644904591,floresta
0,61,32.406427221172024,7.1512974416636865,0,86,56.725897920604915,8.018086266032686,0,57,29.05103969754253,7.18584277229474,0,59,56.30434782608695,4.342605561455225,0,190,125.39319470699432,18.65973372191241,0,86,56.725897920604915,8.018086266032686,0,86,54.09640831758034,8.762577584694741,110,128,111.882797731569,1.418706684494725,128,145,142.35727788279772,1.3909472912427543,floresta
12,46,30.255198487712665,5.230517582950598,34,70,53.41965973534972,5.354862027376157,11,46,29.7882797731569,5.263256256064404,52,64,59.52551984877127,1.3258413757217644,79,173,114.08695652173913,11.946477994954494,34,70,53.41965973534972,5.354862027376157,28,69,50.69754253308128,6.149616430366166,112,116,112.93572778827978,0.757838365538874,137,143,140.1890359168242,0.7132242723043865,floresta
16,75,34.1213768115942,7.8538354603163905,39,89,55.583333333333336,6.436727534443026,13,64,29.19927536231884,6.732475871398145,45,59,54.61231884057971,3.394111544086759,72,170,122.6177536231884,15.345557470624064,39,89,55.583333333333336,6.436727534443026,33,92,53.30434782608695,7.522053273158493,110,118,113.2481884057971,1.6675712337335755,139,144,141.97282608695653,0.8171534980158077,floresta
