@relation demo

@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute M_01 numeric
@attribute M_10 numeric
@attribute M_11 numeric
@attribute M_02 numeric
@attribute M_20 numeric
@attribute Mu_01 numeric
@attribute Mu_10 numeric
@attribute Mu_11 numeric
@attribute Mu_02 numeric
@attribute Mu_20 numeric
@attribute classe {floresta, hidrografia, plantacao}

@data

0.003995330333549018,1.1598176071579529e-08,1.5284841374636472e-11,2.2801880179055723e-11,-8.098063547273663e-23,-2.4454170423905455e-15,-4.179094141900192e-22,970785.0,738480.0,9315660.0,15047295.0,9442140.0,232304.99999999994,-232305.0,-14658.564814814707,4293749.814814814,3494583.75,floresta
0.003680790610950067,1.8901294846199572e-07,5.848674692749867e-10,1.0154356194078667e-11,-1.2063843892953533e-22,-3.921155681768664e-16,-7.731865304841508e-22,1420095.0,1260210.0,15966825.0,21659445.0,18184560.0,159884.99999999997,-159885.00000000003,885559.3538135594,5116518.813559322,5202123.71822034,floresta
0.0036661735168854997,4.502304848992127e-08,5.839046029601636e-11,1.1337143563474716e-11,-1.812686024724361e-22,-1.130721331427811e-15,-2.285315323482499e-22,665040.0,614295.0,8640930.0,10057200.0,9843765.0,50745.0,-50745.000000000015,1177135.4861111115,2074208.958333333,3039420.555555555,floresta
0.004038774369907988,2.6478668309542405e-09,4.76056863897695e-15,2.289657782369487e-12,2.1515672667960122e-26,-1.1036710993753877e-16,2.380778565808784e-25,546720.0,434775.0,4996470.0,9109110.0,6979605.0,111945.00000000001,-111945.00000000004,-279344.27419354854,3071347.5,3258381.7741935486,floresta
0.0036766906002823696,6.991475814773269e-09,1.1393715826585719e-11,1.2142403468346996e-11,1.428200804274181e-22,-4.0898044330472826e-16,1.9569644600221105e-25,498015.0,669630.0,4545120.0,6376275.0,10025580.0,-171615.0,171615.0,-1410044.3723849372,2789972.071129707,3151306.0041840994,floresta
0.0038009737524534147,1.772225321415343e-09,4.431828241884816e-12,6.753711158511477e-12,-2.334380610344681e-24,1.3010414562738825e-16,3.687539774338266e-23,873375.0,732870.0,8883690.0,13618785.0,10377990.0,140504.99999999997,-140504.99999999994,-390496.39784946205,3174730.8064516126,3106125.7526881727,floresta
0.0032957352676717725,1.8582724629830737e-08,7.491239939877792e-10,8.229641193794569e-12,-2.9496082745471893e-22,8.943261475962213e-16,5.749230363377712e-22,1482570.0,1312740.0,15361200.0,22667970.0,18955680.0,169829.99999999994,-169829.99999999974,-543065.1745379866,5200710.862422999,5311165.133470226,floresta
0.003608698149038417,2.9733496496428886e-08,1.1518798408835099e-11,3.168847882240624e-12,1.3792949107665293e-23,-5.453638952674951e-16,-1.3277277436860553e-23,542385.0,488835.0,5239995.0,9075705.0,7059675.0,53550.00000000002,-53549.99999999999,-664485.5898876406,2657685.9269662914,1858263.7921348312,floresta
0.00380935088896304,9.855376551665188e-10,3.7194408288614316e-11,4.224517902823403e-12,-5.295464886820207e-23,6.599452261218361e-17,-7.763779447366249e-26,798405.0,911880.0,9327135.0,11735355.0,14552340.0,-113474.99999999999,113475.00000000001,-555833.2142857148,3404369.693877551,3632658.010204081,floresta
0.0036706532842371506,5.7071541018867016e-08,7.951415533405626e-11,2.2981724574629966e-12,5.723820243650427e-25,-2.596754872699095e-16,-3.1061499991365177e-23,269025.0,75225.0,1161525.0,5635245.0,637755.0,193800.0,-193800.0,-2746240.086206897,3281221.2931034486,2794593.362068966,floresta
0.0035152803947293317,2.307930123131062e-08,4.765642876212723e-11,1.7751301214424894e-11,-4.195041823297104e-22,2.6905161601316874e-15,3.0097630091667705e-22,677535.0,861390.0,8456310.0,9301635.0,13572630.0,-183855.00000000003,183855.00000000003,-511366.61111111136,3125149.666666666,3286644.9444444445,floresta
0.003810062324566108,2.2056260113430532e-10,1.2109690728551664e-12,2.4234970303909754e-12,-1.7517769192019092e-24,-5.073108845345751e-18,3.7640711758876225e-24,589305.0,681360.0,7261635.0,9202695.0,11307210.0,-92054.99999999994,92054.99999999997,-13726.153846153788,3190694.9999999995,3219598.8461538465,floresta
0.003926604585621249,1.1827900558326653e-07,2.32170338918577e-11,6.346995878106324e-12,-7.164804088698516e-23,-2.182836018030958e-15,2.8333678259971073e-23,1001130.0,913920.0,11605305.0,17202300.0,13816920.0,87209.99999999997,-87209.99999999999,-141044.80519480509,4537980.0,3279051.6233766237,floresta
0.004227010904843688,1.6648342081207303e-08,2.0382402975076719e-10,9.882890431984428e-11,-1.1920501539337312e-20,-4.869887570889014e-15,-7.392447732391741e-21,1139340.0,1218390.0,12435075.0,17443530.0,17746980.0,-79050.00000000007,79049.99999999997,-615693.5441527446,5352681.264916468,3911748.687350835,floresta
0.004050400448781925,3.713270895412724e-08,9.850262277756903e-10,1.2209740925321858e-11,3.689204520250336e-22,1.6854550169175488e-16,1.2871842978914011e-21,1514700.0,1511895.0,17452200.0,23337090.0,23045625.0,2805.000000000004,-2804.999999999991,-296193.58695652126,5555890.108695651,5330220.652173912,floresta
0.0038560728128345712,1.6535426127306533e-08,1.1188648250768416e-10,6.337720780483422e-12,2.7221161064333254e-23,2.639091481532095e-16,-1.6655759057395694e-22,1479000.0,1423665.0,16245540.0,22462440.0,20968905.0,55334.99999999993,-55335.00000000014,281708.5424710425,5925389.218146718,5647835.501930502,floresta
0.003804779527035656,3.619764614160716e-08,5.949044111375333e-11,1.6874462686484828e-11,-2.32690367184097e-22,-1.6223588501950869e-15,-4.813568709007519e-22,1555245.0,1535355.0,17524875.0,23924355.0,23137425.0,19890.00000000018,-19890.00000000021,213079.13123844736,6394063.2532347515,6052728.077634012,floresta
0.0035102118797402113,2.9103564256914163e-08,3.659934276887056e-11,1.9215516380647826e-10,-1.2839877230339778e-21,3.2386033916462725e-14,1.6063186868583006e-20,108120.0,423810.0,1560345.0,554370.0,6484650.0,-315690.0,315690.0,-3233937.8571428577,3453372.8571428573,3849792.857142857,floresta
0.00403163284588777,6.800184405160424e-08,9.225387275405674e-11,3.7832147854003825e-12,-4.123339720366022e-23,-8.036658046348431e-16,-5.740362590356909e-23,1754400.0,1536120.0,19308855.0,28732380.0,23139720.0,218280.00000000017,-218280.00000000035,-571650.1386321629,6766715.822550831,6380497.818853978,floresta
0.003769173625150277,2.60592253683183e-08,1.7738259863238057e-12,2.965279953381919e-12,4.251281946686807e-24,4.709928271843718e-16,-5.308127387761735e-24,774435.0,670395.0,9434490.0,12940485.0,10505235.0,104039.99999999996,-104040.00000000001,-232663.18604651163,2198574.418604651,2505141.3488372094,floresta
0.004056831460555302,4.7143078622561863e-08,1.0002042563652107e-09,1.214498776812819e-11,-5.75598157628338e-22,2.539001235695021e-15,1.20848963614133e-21,1920150.0,1811010.0,24354285.0,31982100.0,30010440.0,109139.9999999998,-109139.99999999978,92552.34042553215,6428877.340425532,7288665.000000004,floresta
0.0031977483997766083,3.4162854629886386e-07,7.936826117885677e-10,9.11448556531395e-11,2.4230523252053654e-20,3.297807609731885e-14,3.720037157869348e-21,1671525.0,2123640.0,24287985.0,24753105.0,38818140.0,-452114.99999999994,452115.00000000006,-1051189.001721171,7274195.395869192,9757771.626506025,floresta
0.004000102555732344,3.08825680117565e-09,8.250178607418631e-11,1.3648908548711009e-13,-4.2192168364699675e-25,-6.4730224046182386e-18,1.7820979648648698e-25,544425.0,615315.0,6455835.0,7878225.0,10286955.0,-70890.00000000004,70889.99999999999,-211189.72499999995,2165025.2249999996,2961716.625000001,floresta
0.0038074887206222116,4.738759281227842e-09,3.5839547776646313e-12,2.381548545548639e-12,5.03535172706831e-25,1.396099807887362e-16,6.939531234392664e-24,847365.0,782085.0,8821725.0,11731785.0,10802565.0,65280.00000000002,-65280.00000000004,544572.6740506331,2873929.889240506,3264770.6487341765,floresta
0.003174856459036433,5.603315873308975e-08,5.577471278014618e-10,3.389873771829871e-10,-5.895798108939452e-20,7.71345407452299e-14,-1.350939082972839e-19,1758480.0,1638885.0,20816415.0,28557450.0,25696605.0,119594.99999999978,-119595.00000000048,-413194.3738317762,5995977.0560747655,6113382.869158879,floresta
