@relation demo

@attribute Hu_0 numeric
@attribute Hu_1 numeric
@attribute Hu_2 numeric
@attribute Hu_3 numeric
@attribute Hu_4 numeric
@attribute Hu_5 numeric
@attribute Hu_6 numeric
@attribute M_01 numeric
@attribute M_10 numeric
@attribute M_11 numeric
@attribute M_02 numeric
@attribute M_20 numeric
@attribute Mu_01 numeric
@attribute Mu_10 numeric
@attribute Mu_11 numeric
@attribute Mu_02 numeric
@attribute Mu_20 numeric
@attribute classe {Fogo, Fumaca, Queimada, Vegetacao}

@data

0.002768361634965574,2.0591267078925444e-07,1.843068014786798e-10,1.7704709434657745e-10,-3.0962465658864644e-20,6.441660420197383e-14,-8.010361055186079e-21,267240.0,309315.0,3181890.0,2969730.0,3899715.0,-42074.999999999985,42074.99999999999,28513.857142857152,368538.14285714284,392508.14285714284,Fogo
0.0020054633055242885,4.3175046251332055e-08,5.920421537377189e-10,3.481339807833227e-12,-4.18315090560022e-23,7.233737977953638e-16,-1.5241421481976102e-22,1010565.0,901680.0,9905730.0,14046165.0,11332710.0,108885.00000000001,-108884.99999999997,-38917.6236263736,3171507.8571428573,2701263.3379120864,Fogo
0.0016434459612562672,5.2713694119754914e-08,1.5378536309909821e-10,8.218181075884611e-12,2.1229116263444494e-22,-1.8087804884058463e-15,-2.0072380912951878e-22,942480.0,1197735.0,11054760.0,11799360.0,17488665.0,-255255.0,255254.99999999997,-255237.1376811596,4002510.181159421,4517044.130434783,Fogo
0.0015227150834657911,8.362022388182403e-09,1.7361479476537825e-10,3.3705625941460246e-12,-4.6781480415552804e-23,-2.6085261059889e-16,6.67797697450469e-23,1057740.0,940950.0,10405020.0,14822640.0,11992650.0,116789.99999999999,-116790.0000000002,20373.228346456486,3447270.708661417,3019905.433070866,Fogo
0.0019283287725376792,5.6156110625564595e-08,2.9621230347470054e-10,9.870860445283854e-12,5.308948424658409e-22,1.0399658640628725e-15,-5.508822451915557e-23,773670.0,702525.0,6639180.0,9654810.0,8390265.0,71145.0,-71145.00000000012,-391245.83333333355,2048714.166666667,2130111.6666666665,Fogo
0.0015998492327140776,4.083658311961236e-08,1.988463090185367e-10,3.114927375873737e-12,-1.3619481113126285e-23,-6.29389792633701e-16,7.631728248148594e-23,848130.0,844050.0,8698560.0,10815570.0,10721220.0,4079.9999999999905,-4080.0000000000223,293243.8922155688,2370015.8083832334,2356728.323353294,Fogo
0.001659417840115857,8.979721095275604e-08,1.165280586577616e-10,4.7753830737927985e-12,-1.5399604386919397e-25,-7.268999161423748e-16,1.12648956588158e-22,917490.0,1042440.0,10347390.0,11393910.0,15115890.0,-124950.00000000006,124949.99999999996,-241289.50000000015,2394178.0000000005,3448475.5,Fogo
0.001571027147716772,1.497467058071966e-08,1.7015244592876357e-10,3.8610888218475e-12,-9.578725381589683e-23,-3.97179657041472e-16,-2.487911889169534e-23,906780.0,982515.0,9349575.0,11393910.0,13397955.0,-75735.00000000013,75734.99999999996,-77547.34584450415,2809415.670241287,3309115.8579088473,Fogo
0.0020358628493710833,1.2715036838928068e-07,5.59207826488378e-12,8.433280695984124e-13,1.602684665820945e-24,-2.605131760922614e-16,8.862283587343532e-25,320535.0,381990.0,3015630.0,3471825.0,5215770.0,-61454.999999999956,61454.99999999995,-157267.9807692307,983992.6923076923,1642626.6346153847,Fogo
0.0012296378293293075,6.147670278297201e-08,1.1294311297184071e-10,1.865657599537674e-12,1.2779765809108572e-23,4.606787021973219e-16,-2.387681645856335e-23,992715.0,906270.0,9667305.0,14056875.0,11427570.0,86444.99999999991,-86445.00000000001,-467777.5213675213,3129995.683760684,2334753.1196581204,Fogo
0.001824629035625845,4.85341470612292e-07,8.918222827032829e-10,1.0607889331581487e-11,2.2212570345885687e-22,6.265730841717525e-15,1.007575406769955e-21,1193400.0,1310700.0,15126600.0,17498610.0,22134510.0,-117299.99999999997,117299.99999999994,-1287283.2891246683,2827113.9787798407,4407613.448275861,Fogo
0.0011309762090930806,2.0399982509585227e-08,7.304882369482785e-11,8.958368487580484e-13,6.844968432047595e-24,5.0651941280403565e-17,2.379793569496888e-24,820590.0,898365.0,8623335.0,9938880.0,11956695.0,-77775.0,77775.00000000003,150486.3226744186,2331504.287790698,2825245.8139534886,Fogo
